index,beta,alpha,upper,lower,lambda,true_y
2010-06-24,0.4375,0.2100000000000013,0.06269886613508621,-0.03692419422681861,0.7899999999999987,-0.0346717335171941
2010-06-25,0.5625,0.2200000000000013,0.05799172614741351,-0.03048327893791631,0.7799999999999987,-0.0097800290536396
2010-06-28,0.265625,0.23000000000000131,0.05456117506849658,-0.03812306177787698,0.7699999999999987,-0.0261371443676924
2010-06-29,0.171875,0.24000000000000132,0.0390846350260284,-0.041160187244603,0.7599999999999987,-0.0451398359924762
2010-06-30,0.375,0.15000000000000135,0.04306480856421417,-0.06137734775432517,0.8499999999999986,-0.030812886429535
2010-07-01,0.53125,0.16000000000000136,0.053758545676868455,-0.05130887315015366,0.8399999999999986,0.0135137191667228
2010-07-02,0.8125,0.17000000000000137,0.06066457370752282,-0.03512227303793301,0.8299999999999986,-0.006734032181344
2010-07-06,0.0703125,0.18000000000000138,0.04073203937313701,-0.05455113260987061,0.8199999999999986,-0.0498718300401731
2010-07-07,0.0390625,0.09000000000000141,0.058596173196499145,-0.06471665586189594,0.9099999999999986,0.0659579677917973
2010-07-08,0.5625,1.4432899320127035e-15,0.3091367379868656,-0.29252348663085836,0.9999999999999986,-0.0242272953353242
2010-07-09,0.9375,0.010000000000001452,0.10015693829466343,-0.09918025060910005,0.9899999999999985,0.0054347959859569
2010-07-12,0.46875,0.02000000000000146,0.10731415784025758,-0.07131046913549657,0.9799999999999985,0.0293746086799043
2010-07-13,0.78125,0.03000000000000147,0.09734101117817492,-0.07084764708297592,0.9699999999999985,0.0285363072649342
2010-07-14,0.125,0.04000000000000148,0.0854364483977236,-0.0776204036177772,0.9599999999999985,-0.0471291403415502
2010-07-15,0.46875,0.05000000000000149,0.07014860226735413,-0.07560205532747373,0.9499999999999985,-0.0244245520070749
2010-07-16,0.59375,0.0600000000000015,0.0738508520797405,-0.0775265243784619,0.9399999999999985,0.0176995770994008
2010-07-19,0.53125,0.0700000000000015,0.07602624008987877,-0.06470863294628276,0.9299999999999985,-0.0273614880111378
2010-07-20,0.21875,0.08000000000000151,0.07516477132930514,-0.053405645622705736,0.9199999999999985,0.0539942205767367
2010-07-21,0.46875,0.09000000000000152,0.06156610626478112,-0.06873160349117233,0.9099999999999985,-0.0158943743444663
2010-07-22,0.71875,0.10000000000000153,0.07488938811540696,-0.04670044033262416,0.8999999999999985,0.0106242699202292
2010-07-23,0.625,0.11000000000000154,0.0568295459381524,-0.050583407294570004,0.8899999999999985,0.0324914871078622
2010-07-26,0.28125,0.12000000000000155,0.10756226403873587,-0.022273537243106857,0.8799999999999985,0.0401056254572292
2010-07-27,0.25,0.13000000000000156,0.05545113225800808,-0.07111622836514508,0.8699999999999984,-0.0061614489440486
2010-07-28,0.65625,0.14000000000000157,0.058072026108471994,-0.04731361059091799,0.8599999999999984,-0.0263008272006125
2010-07-29,0.25,0.15000000000000158,0.04958208440637227,-0.05970602161312827,0.8499999999999984,-0.0348647319961932
2010-07-30,0.84375,0.16000000000000159,0.038684389688113274,-0.06350951689450707,0.8399999999999984,0.002624673422771
2010-08-02,0.90625,0.1700000000000016,0.03582500932808069,-0.0661041475616989,0.8299999999999984,-0.0078947778470081
2010-08-03,0.75,0.1800000000000016,0.05495536206469392,-0.04254311654882111,0.8199999999999984,-0.0026455041884241
2010-08-04,0.6875,0.1900000000000016,0.0465152095695039,-0.0551233735650525,0.8099999999999984,-0.0079787657318051
2010-08-09,0.171875,0.20000000000000162,0.036610126635390934,-0.05414161314804273,0.7999999999999984,-0.0577877404812352
2010-08-10,0.125,0.11000000000000165,0.05581937588276579,-0.06037881073625118,0.8899999999999983,-0.0628402473073794
2010-08-11,0.25,0.12000000000000166,0.031285804352153446,-0.08339988042270004,0.8799999999999983,-0.0431499912931709
2010-08-12,0.078125,0.13000000000000167,0.06042558030776504,-0.049365240228057036,0.8699999999999983,0.0386148361277795
2010-08-13,0.5,0.0400000000000017,0.07437790583877654,-0.08434268015815055,0.9599999999999983,-0.0198935405195706
